replicate,delta_rank
754,0.057079907822620825
755,0.047793659691081215
756,0.053406826108619826
757,0.03871605630293971
758,0.049950174389636275
759,0.04854104384653712
760,0.058808233682112604
761,0.05372446437468859
762,0.06252646985550572
763,0.04261646736422521
764,0.04892563527653214
765,0.06499595166915795
766,0.051919843049327355
767,0.0429979446935725
768,0.048614225211758844
769,0.059188153961136025
770,0.06472658196312905
771,0.04913739412057797
772,0.05109149227703039
773,0.06136335326357748
774,0.047233121574489285
775,0.04922770303936223
776,0.043712630792227196
777,0.0367245889387145
778,0.05400317638266069
779,0.059557174887892375
780,0.062381664175386146
781,0.0449847409068261
782,0.049209018435475836
783,0.05997446437468859
784,0.04180368709516692
785,0.04721287992027902
786,0.05742868709516692
787,0.048559728450423514
788,0.06116872197309417
789,0.04863758096661684
790,0.058787992027902344
791,0.04402559790732436
792,0.053248006975585446
793,0.05255511958146487
794,0.05975803437967114
795,0.039303064275037373
796,0.04879640009965122
797,0.05673891380169407
798,0.05271860986547085
799,0.05528462879920278
800,0.06426569506726458
801,0.05149476831091181
802,0.04066236920777279
803,0.0512674389636273
804,0.052771549576482314
805,0.053484678624813146
806,0.054974775784753356
807,0.045215184354758346
808,0.03312157448928749
809,0.04741218236173393
810,0.06938527653213752
811,0.06292040358744394
812,0.05610830842052816
813,0.038471599402092674
814,0.04409255107125062
815,0.05092021674140508
816,0.04708675884404583
817,0.04003799202790234
818,0.03854633781763826
819,0.04693883906327852
820,0.05183109118086697
821,0.042971474838066764
822,0.05118335824613851
823,0.06307922272047832
824,0.04279397110114598
825,0.05898729446935724
826,0.05040327603388141
827,0.05425386148480319
828,0.049783570004982555
829,0.05173611111111111
830,0.050795652715495763
831,0.053674638764324864
832,0.0581075610363727
833,0.053833457897359244
834,0.052123816641753855
835,0.049568697060288984
836,0.06359460637767812
837,0.053934666168410555
838,0.06472813901345291
839,0.06181334080717489
840,0.05211603139013453
841,0.05094824364723467
842,0.050879733432984554
843,0.04934448181365222
844,0.061579783258594915
845,0.056558295964125566
846,0.0582835077229696
847,0.0484631913303438
848,0.05605848281016442
849,0.034798517688091675
850,0.045454970104633785
851,0.06045092177379173
852,0.04729228948679621
853,0.05290234180368709
854,0.057417787742899844
855,0.050681988041853504
856,0.05444070752366716
857,0.0447667538614848
858,0.057131290483308415
859,0.06458800448430493
860,0.05161310413552566
861,0.04801008968609865
862,0.0475663303437967
863,0.04583177628300947
864,0.062078039362232176
865,0.06928562531141007
866,0.06261522172396611
867,0.0549078226208271
868,0.05623287244643746
869,0.05212070254110612
870,0.04630200548081713
871,0.04921836073741903
872,0.0538817264573991
873,0.048477204783258586
874,0.04746823617339312
875,0.03639760837070254
876,0.048919407075236676
877,0.059790732436472344
878,0.05607561036372695
879,0.06692825112107624
880,0.03859616342800199
881,0.05330250373692076
882,0.05757972097658197
883,0.0529116841056303
884,0.05404365969108121
885,0.0481050697558545
886,0.038892002989536614
887,0.041672894867962135
888,0.042762830094668663
889,0.049170092177379165
890,0.07220198056801196
891,0.06137425261584454
892,0.05640414798206277
893,0.05223903836571998
894,0.06062686846038864
895,0.05672490034877927
896,0.05276065022421525
897,0.04591274289985052
898,0.06114225211758844
899,0.04955624065769806
900,0.04664611360239163
901,0.0556832336821126
902,0.058174514200298955
903,0.061008345789735914
904,0.07278743148978575
905,0.047337443946188336
906,0.058484367214748374
907,0.05311410064773293
908,0.047572558545092174
909,0.046202354260089694
910,0.06796368958644743
911,0.04634093173891381
912,0.05866809915296463
913,0.04518715744892875
914,0.06006633034379671
915,0.05163957399103139
916,0.05793628550074738
917,0.04373287244643747
918,0.05374159192825112
919,0.04496294220229198
920,0.04484304932735426
921,0.06298891380169407
922,0.054063901345291474
923,0.05973467862481315
924,0.06054745889387145
925,0.04207617090184355
926,0.05544967613353263
927,0.04436659192825112
928,0.036768186347782755
929,0.049500186846038866
930,0.058702354260089684
931,0.055293971101145985
932,0.039138016940707517
933,0.049735301444942696
934,0.05360924265072247
935,0.046991778774289984
936,0.06126525909317389
937,0.054812842551071245
938,0.052013266068759334
939,0.06990377428998505
940,0.06351052566018933
