clone_id,treatment,outer_fold,y,pred_W0,pred_W1,pred_W2,pred_W3,pred_W4,pred_W5
L106015,CoCl2,2,1,0.2266829195508383,0.2752846585139131,0.3079755766238439,0.260686325738698,0.2925612444200985,0.293910180483142
L106015,Dabrafenib,2,1,0.2266829195508383,0.2752846585139132,0.3079755766238439,0.2606863257386982,0.2925612444200985,0.25476581192378445
L106015,Doxorubicin,2,1,0.2819646373115759,0.3524572433801913,0.3079755766238439,0.3258010647266856,0.3734744727082963,0.3837328293446333
L106015,Trametinib,2,0,0.194586034559209,0.2305986804685105,0.3079755766238439,0.2229624900876263,0.2456220149883722,0.18121587111693593
L106119,Acid,1,1,0.4758727382102801,0.4130500535635625,0.2895095417101514,0.5174365595348928,0.322056386456397,0.36135513893179444
L106119,Cisplatin,1,1,0.1945871959380825,0.1265625992972331,0.2895095417101514,0.2029561877968733,0.0830049612343025,0.078899865173888
L106119,CoCl2,1,0,0.2356004453330165,0.1628501238050005,0.2895095417101514,0.2481497103367775,0.1091988355376429,0.06731739449768685
L106119,Dabrafenib,1,0,0.2320338480452489,0.159578348822991,0.2895095417101514,0.2441880040134964,0.1067930104279542,0.08142055056197586
L106119,Doxorubicin,1,0,0.2997994308885851,0.2250286722603371,0.2895095417101514,0.320332800800592,0.156736677693239,0.20217209673654615
L106119,Trametinib,1,0,0.1972621510625855,0.1288450374752859,0.2895095417101514,0.2058778872741299,0.0846154492404196,0.06853176453776379
L106449,Acid,2,0,0.4723002644704608,0.2879810790401368,0.2119040207480789,0.4153902367864796,0.3059776196490531,0.1696633060332293
L106449,Cisplatin,2,0,0.2026102523734454,0.0799419805856406,0.2119040207480789,0.1514297274147334,0.0853917500258593,0.06621045776326925
L106449,CoCl2,2,0,0.2266829195508383,0.0938138784504659,0.2119040207480789,0.1720844879826055,0.1002694104299174,0.06856609262487556
L106449,Dabrafenib,2,0,0.2266829195508383,0.0938138784504659,0.2119040207480789,0.1720844879826057,0.1002694104299174,0.12916768419486643
L106449,Doxorubicin,2,0,0.2819646373115759,0.1291816151328634,0.2119040207480789,0.2217047544544899,0.138405431395631,0.1251634247402439
L106449,Trametinib,2,0,0.194586034559209,0.0755159104304394,0.2119040207480789,0.1446732019002725,0.0806641409161816,0.1397250538336859
L106663,Acid,3,0,0.4704989420167573,0.2800284500633928,0.0330877527081508,0.0762467873438578,0.1692026294006179,0.060089768885602746
L106663,Cisplatin,3,0,0.1901270509498604,0.0744561004084269,0.0330877527081508,0.0192144112652138,0.0377151994020319,0.03558078590954794
L106663,CoCl2,3,0,0.2186598922625351,0.090291954794067,0.0330877527081508,0.0230578942655017,0.0463945040389702,0.03378417782058233
L106663,Dabrafenib,3,0,0.2186598922625351,0.0902919547940672,0.0330877527081508,0.0230578942655017,0.0463945040389702,0.04493190621490872
L106663,Doxorubicin,3,0,0.2882083795228566,0.1341899264720791,0.0330877527081508,0.0339418094333531,0.0716942627546842,0.07974937442727356
L106663,Trametinib,3,0,0.1919105456868687,0.0754113559162071,0.0330877527081508,0.0194452676740109,0.038230792047724,0.016134327483583483
L10693,Acid,4,0,0.4785299066468458,0.2968821351175162,0.2504749743274589,0.4735088251929026,0.2593200307286313,0.19994682061262087
L10693,Cisplatin,4,0,0.1981548358322619,0.0794343772887644,0.2504749743274589,0.1783465423953976,0.0642495579390156,0.08437192593552235
L10693,CoCl2,4,0,0.2293600697046259,0.0975269614574984,0.2504749743274589,0.2092444895290301,0.079512432818212,0.16561976811869822
L10693,Dabrafenib,4,0,0.2240101926936385,0.094316337926325,0.2504749743274589,0.203893001235883,0.076784401763673,0.03389342925122234
L10693,Doxorubicin,4,0,0.2891002187573746,0.1364228780661134,0.2504749743274589,0.2704636267787892,0.1132547067183094,0.13183948708562473
